Rank,Country / territory,Population 2015 (UN Estimate),Area (km²)[1],Population density,,,,,,,,,
–,World,7379797139,,,,,,,,,,,
1, China,1376048943,9596961,143.4,,,,,,,,,
2, India,1311050527,3287263,398.8,,,,,,,,,
3, United States,321418820,9833520,32.7,,,,,,,,,
4, Indonesia,257563815,1904569,135.2,,,,,,,,,
5, Brazil,207847528,8515767,24.4,,,,,,,,,
6, Pakistan,188924874,881913,214.2,,,,,,,,,
7, Nigeria,182201962,923768,197.2,,,,,,,,,
8, Bangladesh,160995642,147570,1091,,,,,,,,,
9, Russia,143456918,17075200,8.4,,,,,,,,,
10, Mexico,127017224,1972550,64.4,,,,,,,,,
11, Japan,126573481,377972,334.9,,,,,,,,,
12, Philippines,100981437,343448,294,,,,,,,,,
13, Ethiopia,99390750,1104300,90,,,,,,,,,
14, Vietnam,91508084,331230.8,276.3,,,,,,,,,
15, Egypt,83483000,1010408,82.6,,,,,,,,,
16, Germany,78728000,357168,220.4,,,,,,,,,
17, Iran,79109272,1648195,48,,,,,,,,,
18, Turkey,77266814,783356,98.6,,,,,,,,,
19, Democratic Republic of the Congo,76244544,2345409,32.5,,,,,,,,,
20, Thailand,67959359,513120,132.4,,,,,,,,,
21, United Kingdom,64715810,242495,266.9,,,,,,,,,
22, France,64395345,640679,100.5,,,,,,,,,
23, Italy,60340328,301338,200.2,,,,,,,,,
24, Myanmar,59780000,676578,88.4,,,,,,,,,
25, South Africa,49991300,1221037,40.9,,,,,,,,,
26, South Korea,49410366,100210,493.1,,,,,,,,,
27, Spain,45989016,505990,90.9,,,,,,,,,
28, Ukraine,45782592,603628,75.8,,,,,,,,,
29, Colombia,45508205,1141748,39.9,,,,,,,,,
30, Tanzania,43187823,947303,45.6,,,,,,,,,
31, Sudan,42338426,1886068,22.4,,,,,,,,,
32, Kenya,40862900,580367,70.4,,,,,,,,,
33, Argentina,40518951,2780400,14.6,,,,,,,,,
34, Poland,38167329,312679,122.1,,,,,,,,,
35, Algeria,35978000,2381741,15.1,,,,,,,,,
36, Canada,34108752,9984670,3.4,,,,,,,,,
37, Iraq,32481000,437072,74.3,,,,,,,,,
38, Morocco,31894000,710850,44.9,,,,,,,,,
39, Uganda,31784600,241038,131.9,,,,,,,,,
40, Peru,29461933,1285216,22.9,,,,,,,,,
41, Venezuela,28833845,716445,40.2,,,,,,,,,
42, Malaysia,28334135,330803,85.7,,,,,,,,,
43,   Nepal,28043744,147181,190.5,,,,,,,,,
44, Uzbekistan,28001400,448978,62.4,,,,,,,,,
45, Saudi Arabia,27136977,2149690,12.6,,,,,,,,,
46, Afghanistan,24485600,652864,37.5,,,,,,,,,
47, North Korea,24325701,120540,201.8,,,,,,,,,
48, Ghana,24223431,239567,101.1,,,,,,,,,
49, Taiwan,23162120,36197,639.9,,,,,,,,,
50, Yemen,23153982,527968,43.9,,,,,,,,,
51, Mozambique,22416881,801590,28,,,,,,,,,
52, Australia,22299800,7692024,2.9,,,,,,,,,
53, Cote d'Ivoire,21570746,322463,66.9,,,,,,,,,
54, Romania,21462186,238397,90,,,,,,,,,
55, Sri Lanka,20653000,65610,314.8,,,,,,,,,
56, Syria,20619000,185180,111.3,,,,,,,,,
57, Madagascar,20146442,587041,34.3,,,,,,,,,
58, Cameroon,19958352,475442,42,,,,,,,,,
59, Angola,18992708,1246700,15.2,,,,,,,,,
60, Chile,17094270,756096,22.6,,,,,,,,,
61, Netherlands,16574989,41543,399,,,,,,,,,
62, Kazakhstan,16442000,2724900,6,,,,,,,,,
63, Burkina Faso,15730977,274200,57.4,,,,,,,,,
64, Mali,15370000,1240192,12.4,,,,,,,,,
65, Niger,15203822,1267000,12,,,,,,,,,
66, Ecuador,14483499,283561,51.1,,,,,,,,,
67, Guatemala,14361666,108889,131.9,,,,,,,,,
68, Cambodia,14302779,181035,79,,,,,,,,,
69, Malawi,13947592,118484,117.7,,,,,,,,,
70, Zambia,13257269,752618,17.6,,,,,,,,,
71, Zimbabwe,12644041,390757,32.4,,,,,,,,,
72, Senegal,12509434,196712,63.6,,,,,,,,,
73, Chad,11714904,1284000,9.1,,,,,,,,,
74, Greece,11305118,131957,85.7,,,,,,,,,
75, Cuba,11241161,109884,102.3,,,,,,,,,
76, Belgium,10839905,30528,355.1,,,,,,,,,
77, Portugal,10637713,92212,115.4,,,,,,,,,
78, Tunisia,10547100,163610,64.5,,,,,,,,,
79, Czech Republic,10506813,78866,133.2,,,,,,,,,
80, Bolivia,10426154,1098581,9.5,,,,,,,,,
81, Rwanda,10412820,26338,395.4,,,,,,,,,
82, Guinea,10323755,245836,42,,,,,,,,,
83, Hungary,10014324,93030,107.6,,,,,,,,,
84, Dominican Republic,9884371,48315,204.6,,,,,,,,,
85, Haiti,9855000,27750,355.1,,,,,,,,,
86, Belarus,9480178,207595,45.7,,,,,,,,,
87, Somalia,9358602,637657,14.7,,,,,,,,,
88, Sweden,9340682,450295,20.7,,,,,,,,,
89, Benin,9211741,114763,80.3,,,,,,,,,
90, Azerbaijan,8997586,86600,103.9,,,,,,,,,
91, Burundi,8518862,27834,306.1,,,,,,,,,
92, Austria,8375290,83879,99.8,,,,,,,,,
93, United Arab Emirates,8264070,83600,98.9,,,,,,,,,
94, Honduras,8045990,112492,71.5,,,,,,,,,
95,  Switzerland,7785806,41285,188.6,,,,,,,,,
96, Israel,7623600,22072,345.4,,,,,,,,,
97, Tajikistan,7616400,143100,53.2,,,,,,,,,
98, Bulgaria,7563710,110993.6,68.1,,,,,,,,,
99, Serbia,7291436,77474,94.1,,,,,,,,,
100, Hong Kong,7024200,2755,2549.6,,,,,,,,,
101, Papua New Guinea,6744955,462840,0,,,,,,,,,
102, Libya,6545619,1759541,0,,,,,,,,,
103, Paraguay,6459727,406752,0,,,,,,,,,
104, Laos,6230200,237955,0,,,,,,,,,
105, El Salvador,6194126,21041,0,,,,,,,,,
106, Togo,6191155,56785,0,,,,,,,,,
107, Jordan,6113000,89341,0,,,,,,,,,
108, Sierra Leone,5835664,71740,0,,,,,,,,,
109, Nicaragua,5822265,130375,0,,,,,,,,,
110, Denmark,5534738,42931,0,,,,,,,,,
111, Turkmenistan,5479800,491210,0,,,,,,,,,
112, Slovakia,5424925,49035,0,,,,,,,,,
113, Kyrgyzstan,5418300,199951,0,,,,,,,,,
114, Finland,5351427,338424,0,,,,,,,,,
115, Eritrea,5223994,117600,0,,,,,,,,,
116, Singapore,5076700,721.5,0,,,,,,,,,
117, Norway,4858199,385203,0,,,,,,,,,
118, Costa Rica,4563539,51100,0,,,,,,,,,
119, Central African Republic,4505945,622984,0,,,,,,,,,
120, Ireland,4467854,70273,0,,,,,,,,,
121, Georgia,4436391,69700,0,,,,,,,,,
122, Croatia,4425747,56594,0,,,,,,,,,
123, New Zealand,4367800,268021,0,,,,,,,,,
124, Liberia,4101767,111369,0,,,,,,,,,
125, Palestine,4048403,6020,0,,,,,,,,,
126, Bosnia and Herzegovina,3844046,51129,0,,,,,,,,,
127, Lebanon,3785655,10452,0,,,,,,,,,
128, Republic of the Congo,3758678,342000,0,,,,,,,,,
129, Puerto Rico,3721978,9104,0,,,,,,,,,
130, Kuwait,3566437,17818,0,,,,,,,,,
131, Moldova,3563695,33846,0,,,,,,,,,
132, Panama,3504483,75417,0,,,,,,,,,
133, Uruguay,3356584,176215,0,,,,,,,,,
134, Lithuania,3329039,65300,0,,,,,,,,,
135, Armenia,3249482,29743,0,,,,,,,,,
136, Mauritania,3217383,1030000,0,,,,,,,,,
137, Albania,3195000,28748,0,,,,,,,,,
138, Mongolia,2780800,1566000,0,,,,,,,,,
139, Oman,2773479,309500,0,,,,,,,,,
140, Jamaica,2701200,10991,0,,,,,,,,,
141, Latvia,2248374,64589,0,,,,,,,,,
142, Namibia,2212037,825615,0,,,,,,,,,
143, Kosovo,2208107,10908,0,,,,,,,,,
144, Macedonia,2052722,25713,0,,,,,,,,,
145, Slovenia,2046976,20273,0,,,,,,,,,
146, Botswana,2029307,581730,0,,,,,,,,,
147, Lesotho,1891830,30355,0,,,,,,,,,
148, Gambia,1750732,10689,0,,,,,,,,,
149, Qatar,1699435,11581,0,,,,,,,,,
150, Guinea-Bissau,1647380,36125,0,,,,,,,,,
151, Gabon,1501266,267667,0,,,,,,,,,
152, Estonia,1340127,45227,0,,,,,,,,,
153, Trinidad and Tobago,1317714,5131,0,,,,,,,,,
154, Equatorial Guinea,1313000,28050,0,,,,,,,,,
155, Mauritius,1283415,2040,0,,,,,,,,,
156, Bahrain,1234571,765.3,0,,,,,,,,,
157, Timor-Leste,1149028,,0,,,,,,,,,
158, Cyprus,1102677,,0,,,,,,,,,
159, Swaziland,1055506,,0,,,,,,,,,
160, Djibouti,879053,,0,,,,,,,,,
161, Fiji,850700,,0,,,,,,,,,
162, Réunion,828054,,0,,,,,,,,,
163, Guyana,761442,,0,,,,,,,,,
164, Bhutan,695822,,0,,,,,,,,,
165, Comoros,675000,,0,,,,,,,,,
166, Montenegro,616411,,0,,,,,,,,,
167, Macau,552300,,0,,,,,,,,,
168, Suriname,531170,,0,,,,,,,,,
169, Solomon Islands,530669,,0,,,,,,,,,
170, Western Sahara,530000,,0,,,,,,,,,
171, Cape Verde,512582,,0,,,,,,,,,
172, Luxembourg,502066,,0,,,,,,,,,
173, Brunei,414400,,0,,,,,,,,,
174, Malta,414372,,0,,,,,,,,,
175, Guadeloupe,404394,,0,,,,,,,,,
176, Martinique,399637,,0,,,,,,,,,
177, Bahamas,353658,,0,,,,,,,,,
178, Maldives,319738,,0,,,,,,,,,
179, Iceland,317630,,0,,,,,,,,,
180, Belize,312971,,0,,,,,,,,,
181, Barbados,276300,,0,,,,,,,,,
182, French Polynesia,267000,,0,,,,,,,,,
183, New Caledonia,248000,,0,,,,,,,,,
184, Vanuatu,245036,,0,,,,,,,,,
185, French Guiana,232223,,0,,,,,,,,,
186, Mayotte,202000,,0,,,,,,,,,
187, Samoa,183123,,0,,,,,,,,,
188, Guam,180865,,0,,,,,,,,,
189, Saint Lucia,174000,,0,,,,,,,,,
190, São Tomé and Príncipe,165397,,0,,,,,,,,,
191, Curacao,142180,,0,,,,,,,,,
192, Grenada,109553,,0,,,,,,,,,
193, Saint Vincent and the Grenadines,109284,,0,,,,,,,,,
194, U.S. Virgin Islands,106267,,0,,,,,,,,,
195, Tonga,103365,,0,,,,,,,,,
196, Micronesia,102624,,0,,,,,,,,,
197, Aruba,101484,,0,,,,,,,,,
198, Kiribati,100835,,0,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,